id,name,album,artist,popularity,release_date,duration_ms,explicit,genre
0y5Ex8oQ8zCH5TQxHUy1Eo,you look like you love me (feat. Riley Green),you look like you love me (feat. Riley Green),"Ella Langley, Riley Green",82,2024-06-21,224280,False,pop
62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,No Strings Attached,*NSYNC,90,2000-03-21,200400,False,pop
7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (with Metro Boomin),Without Warning,"Offset, Metro Boomin",85,2017-10-30,172800,True,pop
1CS7Sd1u5tWkstBhpssyjP,Take Me to Church,Hozier (Expanded Edition),Hozier,80,2014-09-19,241693,False,pop
1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,Romantic Homicide,d4vd,86,2022-07-20,132630,False,pop
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 (Music from the HBO Original Series),"The Weeknd, JENNIE, Lily-Rose Depp",91,2023-06-23,244684,False,pop
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Viva La Vida or Death and All His Friends,Coldplay,88,2008-05-26,242373,False,pop
1HBv0BqHfm6sMsAUg5H3Yo,Blue Green Red,100 GIGS,Drake,77,2024-08-10,217846,True,pop
3rUGC1vUpkDG9CZFHMur1t,greedy,greedy,Tate McRae,89,2023-09-15,131872,True,pop
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),eternal sunshine,Ariana Grande,89,2024-03-08,228639,False,pop
1rNSCrsOoWyhKH4g47mehU,Super Graphic Ultra Modern Girl,The Rise and Fall of a Midwest Princess,Chappell Roan,82,2023-09-22,183888,False,pop
3U5JVgI2x4rDyHGObzJfNf,Unwritten,Unwritten,Natasha Bedingfield,88,2004-08-30,259333,False,pop
6fPan2saHdFaIHuTSatORv,L’AMOUR DE MA VIE,HIT ME HARD AND SOFT,Billie Eilish,87,2024-05-17,333986,False,pop
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SOS,SZA,87,2022-12-08,153946,False,pop
43SoxERu5UlXAgt4Es1VQU,Porch Light,Porch Light,Josh Meloy,80,2022-11-18,184949,True,pop
4rlQza35DE4Prh5yonxnCs,After Midnight,The Rise and Fall of a Midwest Princess,Chappell Roan,81,2023-09-22,204857,False,pop
4LKYOetuIF5c9XjeLBL9av,Naked In Manhattan,The Rise and Fall of a Midwest Princess,Chappell Roan,81,2023-09-22,211057,True,pop
3JvrhDOgAt6p7K8mDyZwRd,Riptide,Dream Your Life Away - Special Edition,Vance Joy,81,2014-09-08,204280,False,pop
